STNAME,CTYNAME,POPESTIMATE2023
Kansas,Graham County,2376
Kansas,Grant County,7147
Kansas,Gray County,5743
Kansas,Greeley County,1181
Kansas,Greenwood County,5870
Kansas,Hamilton County,2437
Kansas,Harper County,5435
Kansas,Harvey County,33504
Kansas,Haskell County,3630
Kansas,Hodgeman County,1655
Kansas,Jackson County,13368
Kansas,Jefferson County,18327
Kansas,Jewell County,2847
Kansas,Johnson County,622237
Kansas,Kearny County,3823
Kansas,Kingman County,7066
Kansas,Kiowa County,2374
Kansas,Labette County,19728
Kansas,Lane County,1529
Kansas,Leavenworth County,83518
Kansas,Lincoln County,2920
Kansas,Linn County,9860
Kansas,Logan County,2665
Kansas,Lyon County,32172
Kansas,McPherson County,30091
Kansas,Marion County,11690
Kansas,Marshall County,9933
Kansas,Meade County,3911
Kansas,Miami County,35320
Kansas,Mitchell County,5719
Kansas,Montgomery County,30568
Kansas,Morris County,5334
Kansas,Morton County,2580
Kansas,Nemaha County,10114
Kansas,Neosho County,15420
Kansas,Ness County,2618
Kansas,Norton County,5330
Kansas,Osage County,15824
Kansas,Osborne County,3427
Kansas,Ottawa County,5818
Kansas,Pawnee County,6126
Kansas,Phillips County,4761
Kansas,Pottawatomie County,26382
Kansas,Pratt County,9082
Kansas,Rawlins County,2463
Kansas,Reno County,61497
Kansas,Republic County,4627
Kansas,Rice County,9260
Kansas,Riley County,71402
Kansas,Rooks County,4778
Kansas,Rush County,2830
Kansas,Russell County,6723
Kansas,Saline County,53098
Kansas,Scott County,4922
Kansas,Sedgwick County,528469
Kansas,Seward County,21067
Kansas,Shawnee County,177746
Kansas,Sheridan County,2423
Kansas,Sherman County,5844
Kansas,Smith County,3590
Kansas,Stafford County,3909
