Year,County,State,Administered_Dose_Count,Population,Avg Temp,Max Temp,Min Temp,Death Per 100k
2023.0,Appanoose County,Iowa,6553.0,12119.0,52.8,64.4,41.1,4447.561680006601
2021.0,Appling County,Georgia,3374.0,18423.0,66.5,77.8,55.2,2784.851275938668
2022.0,Appling County,Georgia,7739.0,18437.0,67.1,79.5,54.8,2784.851275938668
2023.0,Appling County,Georgia,7766.0,18457.0,68.1,79.6,56.7,2784.851275938668
2021.0,Appomattox County,Virginia,5804.0,16398.0,57.9,68.4,47.4,2437.144212523719
2022.0,Appomattox County,Virginia,5912.0,16703.0,57.2,67.7,46.7,2437.144212523719
2023.0,Appomattox County,Virginia,5921.0,16864.0,57.9,68.2,47.5,2437.144212523719
2021.0,Aransas County,Texas,14810.0,24510.0,72.9,80.1,65.6,3621.8176085757073
2022.0,Aransas County,Texas,16000.0,24963.0,72.3,80.3,64.4,3621.8176085757073
2023.0,Aransas County,Texas,15922.0,25374.0,73.4,81.4,65.4,3621.8176085757073
2021.0,Arapahoe County,Colorado,457394.0,656855.0,50.9,66.0,35.8,2669.8736855261936
2022.0,Arapahoe County,Colorado,511384.0,656269.0,49.7,65.2,34.1,2669.8736855261936
2023.0,Arapahoe County,Colorado,516865.0,656061.0,48.9,63.6,34.2,2669.8736855261936
2021.0,Archer County,Texas,4279.0,8702.0,64.3,76.6,51.9,1550.5593088935652
2022.0,Archer County,Texas,6246.0,8849.0,65.3,79.1,51.6,1550.5593088935652
2023.0,Archer County,Texas,5905.0,9029.0,66.7,80.0,53.4,1550.5593088935652
2021.0,Archuleta County,Colorado,8654.0,13806.0,45.4,59.6,31.3,2804.989780816125
2022.0,Archuleta County,Colorado,9343.0,13989.0,44.9,59.4,30.4,2804.989780816125
2023.0,Archuleta County,Colorado,9381.0,14189.0,43.5,57.8,29.3,2804.989780816125
2021.0,Arecibo Municipio,Puerto Rico,106714.0,,,,,
2022.0,Arecibo Municipio,Puerto Rico,117107.0,,,,,
2023.0,Arecibo Municipio,Puerto Rico,77239.0,,,,,
2021.0,Arenac County,Michigan,7780.0,15016.0,48.8,58.2,39.5,4232.419940574448
2022.0,Arenac County,Michigan,8024.0,15123.0,46.5,55.8,37.2,4232.419940574448
2023.0,Arenac County,Michigan,8044.0,15145.0,48.8,57.4,40.3,4232.419940574448
2021.0,Arkansas County,Arkansas,10753.0,16687.0,63.1,72.8,53.5,4862.942294720059
2022.0,Arkansas County,Arkansas,11915.0,16498.0,63.0,73.3,52.8,4862.942294720059
2023.0,Arkansas County,Arkansas,11974.0,16307.0,65.1,75.2,55.0,4862.942294720059
2021.0,Arlington County,Virginia,203843.0,233436.0,58.2,67.7,48.6,2181.822840597535
2022.0,Arlington County,Virginia,227071.0,233678.0,56.8,66.8,46.8,2181.822840597535
2023.0,Arlington County,Virginia,229528.0,234162.0,58.6,68.7,48.4,2181.822840597535
2021.0,Armstrong County,Pennsylvania,43275.0,65212.0,51.4,61.8,41.1,3848.674969566439
